,Compound,Negative,Neutral,Positive,Source,Time,Tweet,Tweets Ago
94,0.0,0.0,1.0,0.0,BBCNews,Sun Apr 08 10:53:07 +0000 2018,Angela Rayner 'frustrated' over Labour anti-Semitism action https://t.co/J60EFbhlMj,95
95,-0.0258,0.228,0.551,0.22,BBCNews,Sun Apr 08 10:41:44 +0000 2018,Arrests after Manchester City v Manchester United derby brawl https://t.co/zkSYfZJvlq,96
96,0.0,0.0,1.0,0.0,BBCNews,Sun Apr 08 10:21:22 +0000 2018,"RT @BBCNewsNI: Meet the County Down woman who's the Dr Dolittle of the ocean
https://t.co/79W82ys7Av https://t.co/JyW6A42ZJa",97
97,-0.6124,0.385,0.615,0.0,BBCNews,Sun Apr 08 10:17:06 +0000 2018,Sarah Montague 'incandescent with rage' over BBC Radio 4 pay https://t.co/A9PmIUzo8Z,98
98,0.4344,0.0,0.863,0.137,BBCNews,Sun Apr 08 09:48:26 +0000 2018,"RT @BBCSport: WHAT. A. SWIM!!! 🥇🥇🥇

Scotland's Duncan Scott takes the GOLD in the Men's 100m freestyle final! 

👉  https://t.co/WUhxF51QaY…",99
99,0.0,0.0,1.0,0.0,BBCNews,Sun Apr 08 09:48:12 +0000 2018,"RT @BBCSport: It's a Games record for Kylie Masse - and a Canadian one-two in the women's 200m backstroke.

Compatriot Taylor Ruck takes he…",100
100,-0.3182,0.099,0.901,0.0,CBSNews,Mon Apr 09 23:55:00 +0000 2018,"For the past 24 years, Wang Mingqing has been searching for his daughter that he lost at his roadside fruit stand.… https://t.co/XBb20D0Wcj",1
101,-0.6597,0.196,0.804,0.0,CBSNews,Mon Apr 09 23:35:01 +0000 2018,"When a truck slammed into the Humboldt Broncos' bus Friday, killing 15 team members and injuring more than a dozen… https://t.co/kY46szdWWO",2
102,-0.7003,0.279,0.721,0.0,CBSNews,Mon Apr 09 23:15:02 +0000 2018,"Last week, people across the country heard stories about strange, zombie-like raccoons terrorizing a town in northe… https://t.co/Frs4k40bTV",3
103,-0.2732,0.149,0.851,0.0,CBSNews,Mon Apr 09 23:07:47 +0000 2018,"""This is American history."" Great-grandson of lynching victim faces the past. https://t.co/uT8QXzR6iv https://t.co/lgD48aNwsC",4
104,0.296,0.062,0.817,0.12,CBSNews,Mon Apr 09 23:03:02 +0000 2018,Facebook CEO Mark Zuckerberg is ready to tell Congress he's sorry. He faces a grilling tomorrow and Wednesday over… https://t.co/k10ujbnF0v,5
105,-0.8225,0.352,0.648,0.0,CBSNews,Mon Apr 09 23:00:39 +0000 2018,Medics describe smelling chlorine on survivors of apparent chemical attack in Syria that killed 40.… https://t.co/t7i7sTOubs,6
106,-0.5267,0.159,0.841,0.0,CBSNews,Mon Apr 09 22:55:24 +0000 2018,"""This raid reveals there is now a second criminal investigation into the president's inner circle, and that it like… https://t.co/Hhe7qjsuqR",7
107,-0.0165,0.15,0.656,0.194,CBSNews,Mon Apr 09 22:46:11 +0000 2018,"@CBSNews ""Why don't I just fire [special counsel Robert]Mueller? Well, I think it's a disgrace going on. We'll see… https://t.co/CiozXILXKF",8
108,0.6486,0.089,0.656,0.255,CBSNews,Mon Apr 09 22:46:00 +0000 2018,"RT @CBSEveningNews: A remarkable memorial opens later this month in Alabama-- dedicated to the memory of victims of lynching
 
The National…",9
109,-0.6705,0.256,0.744,0.0,CBSNews,Mon Apr 09 22:39:37 +0000 2018,"@CBSNews .@POTUS lashes out at Attorney General Jeff Sessions, saying he ""made a terrible mistake""  when he recused… https://t.co/OX0VL4zlWw",10
110,-0.743,0.27,0.73,0.0,CBSNews,Mon Apr 09 22:35:46 +0000 2018,"@CBSNews ""It's frankly, a real disgrace. It's an attack on our country,"" @POTUS says of FBI search on Cohen.… https://t.co/31HrzyJ5o0",11
111,0.0,0.0,1.0,0.0,CBSNews,Mon Apr 09 22:33:18 +0000 2018,"NEW: President Trump talks about FBI raid on his personal attorney, Michael Cohen. @POTUS calls it a ""disgraceful s… https://t.co/NXf2LybiTa",12
112,0.0,0.0,1.0,0.0,CBSNews,Mon Apr 09 22:28:00 +0000 2018,"RT @CBSEveningNews: COMING UP TONIGHT 

- We'll have more on today's FBI raid on the office of the president's personal attorney

- The pre…",13
113,0.0,0.0,1.0,0.0,CBSNews,Mon Apr 09 22:19:00 +0000 2018,"Fox News host Laura Ingraham returns from a one-week vacation tonight to ""The Ingraham Angle,"" a show that now has… https://t.co/4ilJ5QrtFz",14
114,0.0,0.0,1.0,0.0,CBSNews,Mon Apr 09 22:04:21 +0000 2018,Senator Tammy Duckworth (D-IL) has just become the first senator in U.S. history to give birth while in office.… https://t.co/jG29miWa49,15
115,0.0,0.0,1.0,0.0,CBSNews,Mon Apr 09 21:41:26 +0000 2018,"FBI agents stormed not only Michael Cohen's office, but also his New York residence, seizing documents and other ma… https://t.co/kmb7rIlN1i",16
116,0.6705,0.0,0.756,0.244,CBSNews,Mon Apr 09 21:21:49 +0000 2018,Los Angeles is painting some of its roads white and the reasons why are pretty cool -- literally.… https://t.co/BOh7mk3KNH,17
117,0.3612,0.0,0.884,0.116,CBSNews,Mon Apr 09 20:54:07 +0000 2018,"""Whether this is related to the [special counsel] Mueller investigation or the Stormy Daniels case, it looks like t… https://t.co/mK9HYlN66B",18
118,0.0,0.0,1.0,0.0,CBSNews,Mon Apr 09 20:37:01 +0000 2018,"NEW: ""The decision by the US Attorney’s Office in New York to conduct their investigation using search warrants is… https://t.co/W3P2jNWtLH",19
119,-0.4448,0.128,0.872,0.0,CBSNews,Mon Apr 09 20:35:49 +0000 2018,"MORE: ""It is unclear whether this is stemming from the Mueller investigation, whether it has anything to do with th… https://t.co/B8Tn8dX26z",20
120,-0.3182,0.099,0.901,0.0,CBSNews,Mon Apr 09 23:55:00 +0000 2018,"For the past 24 years, Wang Mingqing has been searching for his daughter that he lost at his roadside fruit stand.… https://t.co/XBb20D0Wcj",21
121,-0.6597,0.196,0.804,0.0,CBSNews,Mon Apr 09 23:35:01 +0000 2018,"When a truck slammed into the Humboldt Broncos' bus Friday, killing 15 team members and injuring more than a dozen… https://t.co/kY46szdWWO",22
122,-0.7003,0.279,0.721,0.0,CBSNews,Mon Apr 09 23:15:02 +0000 2018,"Last week, people across the country heard stories about strange, zombie-like raccoons terrorizing a town in northe… https://t.co/Frs4k40bTV",23
123,-0.2732,0.149,0.851,0.0,CBSNews,Mon Apr 09 23:07:47 +0000 2018,"""This is American history."" Great-grandson of lynching victim faces the past. https://t.co/uT8QXzR6iv https://t.co/lgD48aNwsC",24
124,0.296,0.062,0.817,0.12,CBSNews,Mon Apr 09 23:03:02 +0000 2018,Facebook CEO Mark Zuckerberg is ready to tell Congress he's sorry. He faces a grilling tomorrow and Wednesday over… https://t.co/k10ujbnF0v,25
125,-0.8225,0.352,0.648,0.0,CBSNews,Mon Apr 09 23:00:39 +0000 2018,Medics describe smelling chlorine on survivors of apparent chemical attack in Syria that killed 40.… https://t.co/t7i7sTOubs,26
126,-0.5267,0.159,0.841,0.0,CBSNews,Mon Apr 09 22:55:24 +0000 2018,"""This raid reveals there is now a second criminal investigation into the president's inner circle, and that it like… https://t.co/Hhe7qjsuqR",27
127,-0.0165,0.15,0.656,0.194,CBSNews,Mon Apr 09 22:46:11 +0000 2018,"@CBSNews ""Why don't I just fire [special counsel Robert]Mueller? Well, I think it's a disgrace going on. We'll see… https://t.co/CiozXILXKF",28
128,0.6486,0.089,0.656,0.255,CBSNews,Mon Apr 09 22:46:00 +0000 2018,"RT @CBSEveningNews: A remarkable memorial opens later this month in Alabama-- dedicated to the memory of victims of lynching
 
The National…",29
129,-0.6705,0.256,0.744,0.0,CBSNews,Mon Apr 09 22:39:37 +0000 2018,"@CBSNews .@POTUS lashes out at Attorney General Jeff Sessions, saying he ""made a terrible mistake""  when he recused… https://t.co/OX0VL4zlWw",30
130,-0.743,0.27,0.73,0.0,CBSNews,Mon Apr 09 22:35:46 +0000 2018,"@CBSNews ""It's frankly, a real disgrace. It's an attack on our country,"" @POTUS says of FBI search on Cohen.… https://t.co/31HrzyJ5o0",31
131,0.0,0.0,1.0,0.0,CBSNews,Mon Apr 09 22:33:18 +0000 2018,"NEW: President Trump talks about FBI raid on his personal attorney, Michael Cohen. @POTUS calls it a ""disgraceful s… https://t.co/NXf2LybiTa",32
132,0.0,0.0,1.0,0.0,CBSNews,Mon Apr 09 22:28:00 +0000 2018,"RT @CBSEveningNews: COMING UP TONIGHT 

- We'll have more on today's FBI raid on the office of the president's personal attorney

- The pre…",33
133,0.0,0.0,1.0,0.0,CBSNews,Mon Apr 09 22:19:00 +0000 2018,"Fox News host Laura Ingraham returns from a one-week vacation tonight to ""The Ingraham Angle,"" a show that now has… https://t.co/4ilJ5QrtFz",34
